Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Slovak Republic,SVK,492,549,809,725,674,800,965,1111,763,653,706,538,594,528,507,460,424,483,388
Slovenia,SVN,58,76,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119,108
Solomon Islands,SLB,,7,7,7,5,6,3,5,10,7,,,,,,,,,
Somalia,SOM,1690,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,6958,7404
South Africa,ZAF,1577,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,3023,2912
Korea,KOR,12795,15721,20532,20724,12382,19766,26562,24386,22405,26666,25859,22227,22824,20846,23166,20423,17138,21801,19194
South Sudan,SSD,,,,,,,,,,,,,,17,59,74,127,124,160
Spain,ESP,869,1254,1711,1361,917,1339,1888,1971,1578,1621,1769,1684,1890,1842,2480,2928,3303,3519,3045
Sri Lanka,LKA,899,1118,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036,2053,1994,1847,1767,1763,1913,1627
Sudan,SDN,1346,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,3159,3515
Suriname,SUR,141,256,245,247,180,166,300,314,197,218,227,216,196,187,178,158,134,156,136
Eswatini,SWZ,8,12,18,12,23,15,16,11,13,18,42,22,19,24,15,23,19,20,19
Sweden,SWE,821,1264,1682,1376,963,1270,1517,1376,1145,1019,1138,1097,979,968,1106,954,1066,1144,950
Switzerland,CHE,647,1029,1298,1004,632,855,1092,983,705,720,798,675,615,635,697,656,640,743,565
Syria,SYR,2048,2367,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555,2785,3014,3366,3540,3840,4800,5877
Taiwan Province of China,TWN,6700,9019,12120,9775,6917,9005,9196,8086,8990,9073,8038,6732,6154,5331,5385,4697,4888,5120,4858
Tajikistan,TJK,104,156,187,181,137,167,207,239,172,231,265,299,382,411,550,516,595,593,652
Tanzania,TZA,313,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837,774,799,788,1415
Thailand,THA,2366,3753,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384,9962,9459,7583,6197,7502,7039,6311
Togo,TGO,254,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,1938,1572
Tonga,TON,281,349,327,331,238,327,309,437,438,365,379,343,408,276,348,320,327,283,262
Trinidad and Tobago,TTO,4259,6635,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435,5023,5214,4724,3988,3212,3469,3100
Tunisia,TUN,150,307,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518,535
Turkey,TUR,2215,2606,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483,4403,4162,4144,3834,4201,4469,4844
Turkmenistan,TKM,65,97,94,93,84,117,148,248,217,274,290,224,260,223,210,254,226,235,251
Turks and Caicos Islands,,27,46,33,31,26,28,34,52,31,35,31,29,33,30,50,40,38,39,35
U.S. Virgin Islands,,5,3,6,9,4,13,8,7,,,,,,,,,,,
Uganda,UGA,250,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,1649,1898
Ukraine,UKR,10102,15511,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477,8292,7642,8193,7752,7987,10422,10135
United Arab Emirates,ARE,310,435,460,472,380,586,812,1006,758,693,697,779,707,854,910,1039,1193,1370,1314
United Kingdom,GBR,7647,13273,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792,11572,12014,12984,12225,12592,12673,10948
United States,USA,29,35,63,64,32,57,183,333,171,216,181,201,269,279,319,358,370,468,409
Uruguay,URY,267,426,541,536,469,787,1154,1664,1418,1451,1775,1331,1553,1374,1352,1128,1078,972,1001
Uzbekistan,UZB,1221,1631,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770,5056,4726,4382,5194,3977,4359,4095
Venezuela,VEN,2498,4693,5170,5228,4018,6220,10645,11341,10692,10514,11154,9409,9183,9387,9572,8427,9144,10772,11809
Vietnam,VNM,20335,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101,30283,30832,41451,38231
Yemen,YEM,1160,1789,1607,1227,1382,1760,3366,4308,2396,1872,3134,3591,3361,2620,3532,3492,3194,13040,6029
Zambia,ZMB,143,211,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487,537
Zimbabwe,ZWE,184,322,475,484,358,628,923,1049,1057,953,983,1274,1016,914,924,797,779,815,810
