,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
455,Kazakhstan,916.0,KAZ,723.0,1493.0,2310.0,2315.0,1740.0,1906.0,2223.0,2073.0,1604.0,1630.0,1562.0,1282.0,1235.0,1202.0,1241.0,1221.0,1201.0,1310.0,1377.0,Asia
456,Kenya,664.0,KEN,1407.0,2197.0,2501.0,3199.0,3209.0,5335.0,5347.0,8779.0,7030.0,6998.0,9880.0,7421.0,7762.0,7043.0,6123.0,5884.0,5602.0,6274.0,6957.0,Africa
457,Kiribati,826.0,KIR,0.0,3.0,0.0,,4.0,,4.0,8.0,10.0,4.0,10.0,6.0,,6.0,,6.0,4.0,9.0,,Oceania
458,Kosovo,967.0,UVK,,,,,,,,,,,,355.0,670.0,782.0,839.0,758.0,814.0,1020.0,1014.0,Europe
459,Kuwait,443.0,KWT,801.0,1015.0,1258.0,1056.0,707.0,1091.0,1152.0,1230.0,1017.0,1104.0,1124.0,1037.0,973.0,1044.0,937.0,1057.0,1055.0,1186.0,1177.0,Asia
460,Kyrgyz Republic,917.0,KGZ,189.0,388.0,582.0,473.0,356.0,439.0,656.0,785.0,597.0,632.0,574.0,507.0,542.0,648.0,652.0,707.0,790.0,847.0,715.0,Asia
461,Lao P.D.R.,544.0,LAO,846.0,1358.0,1398.0,1245.0,896.0,1147.0,1242.0,2892.0,2575.0,2198.0,1688.0,1200.0,956.0,949.0,923.0,806.0,917.0,856.0,685.0,Asia
462,Latvia,941.0,LVA,444.0,548.0,711.0,683.0,458.0,605.0,768.0,892.0,568.0,455.0,444.0,435.0,426.0,436.0,424.0,384.0,480.0,391.0,359.0,Europe
463,Lebanon,446.0,LBN,3033.0,3662.0,4579.0,3935.0,2956.0,3818.0,4282.0,4083.0,4267.0,4254.0,3831.0,3487.0,3295.0,2879.0,2783.0,3245.0,2813.0,2971.0,2818.0,Asia
464,Lesotho,666.0,LSO,5.0,9.0,6.0,13.0,5.0,14.0,12.0,18.0,14.0,16.0,14.0,23.0,25.0,17.0,20.0,13.0,23.0,19.0,24.0,Africa
