Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
El Salvador,253,SLV,830.321,723.863,709.196,675.089,490.653,473.306,471.735,473.953,545.548,613.809,917.627,985.43,1076.555,1221.256,1386.17,1590.365,1690.71,1783.893,1892.157,1935.54,2007.654,2078.263,2132.019,2218.407,2287.468,2437.48,2634.332,2790.006,2938.711,2860.537,2978.756,3251.084,3400.182,3466.381,3529.546,3628.058,3704.235,3787.329
Equatorial Guinea,642,GNQ,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1250.993,1881.301,2614.2,3093.251,5419.704,8209.468,10806.146,12732.027,15761.84,22742.384,16530.21,17136.445,21451.886,21557.65,20246.992,19245.653,11213.474,9196.29,9692.34
Eritrea,643,ERI,,,,,,,,,,,,,228.342,141.275,163.487,180.681,213.475,214.166,219.756,208.742,182.647,188.674,177.498,205.687,254.742,245.357,263.273,278.986,284.696,373.464,415.537,500.094,573.163,643.774,710.245,779.326,860.273,979.692
Estonia,939,EST,,,,,,,,,,,,,,1159.899,1662.133,2642.874,3351.762,3623.811,4055,4129.787,4084.362,4509.296,5325.038,7186.936,8859.481,10352.252,12613.018,16606.571,18162.457,14771.009,14672.328,17470.842,17431.54,19078.213,20267.044,17421.214,18235.584,20240.905
Eswatini,734,SWZ,1353.87,1390.764,1208.985,1207.844,999.523,762.131,936.249,1172.28,1332.878,1306.668,1552.212,1567.762,1699.814,1750.159,1859.518,2171.72,2012.452,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4568.746,4291.197,4090.959,3730.31,3515.192,4060.498
Ethiopia,644,ETH,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,777.294,817.49
Fiji,819,FJI,1941.876,1947.628,1833.922,1682.16,1727.279,1647.503,1845.552,1678.205,1579.6,1650.08,1808.634,1857.778,2039.966,2160.826,2392.427,2561.814,2746.468,2677.231,2102.211,2444.91,2103.817,2056.937,2266.294,2824.116,3301.379,3608.577,3699.208,4034.938,4187.669,3395.695,3697.237,4422.608,4632.025,4863.456,5179.865,4995.77,5209.31,5527.537
Finland,172,FIN,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28505.543,25665.172,22514.811,17669.829,20433.664,26349.385,25827.21,24744.561,26054.154,26242.128,24342.604,24963.415,26946.518,32915.019,37736.545,39103,41238.707,48463.305,53785.144,47337.938,46391.713,50960.182,47553.397,49766.126,50087.853,42505.91,43582.433,45937.75
France,132,FRA,13069.505,11456.04,10822.037,10292.761,9697.432,10108.561,13947.316,16793.955,18240.997,18236.767,22490.289,22406.387,24590.746,23082.715,24262.184,27741.294,27720.861,25028.466,25818.37,25549.696,23207.839,23240.837,25113.254,30675.365,35004.53,36082.12,37793.808,43059.907,47191.131,43176.385,42181.583,45410.097,42371.124,44145.229,44616.405,37937.853,38253.422,40045.578
Gabon,646,GAB,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.16,4206.24,5014.408,5835.668,6947.513,7270.687,8652.12,10426.212,7854.2,8933.942,10891.096,9903.189,9760.882,9746.775,7453.113,7082.286,7369.343
