Country,WEO,ISO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Serbia,942,SRB,,,,,,,,,,,228,243,200,176,164,147,156,171,140,154,130,135,111,142,120,104,123,94
South Sudan,733,SSD,,,,,,,,,,,,,,,,,,,,,,,1504,,,,,
Sao Tome and Principe,716,STP,8,7,12,8,8,,,,,,,,,,,,4,4,14,5,6,6,,,,,,
Suriname,366,SUR,,,,,,,,,,,68,79,57,60,46,69,62,45,43,,,,,29,32,34,41,31
Slovak Republic,936,SVK,93,128,,137,129,128,132,140,128,141,129,118,121,137,108,93,82,82,86,78,82,88,63,71,69,44,57,80
Slovenia,961,SVN,41,40,48,26,41,44,38,36,14,25,36,28,36,21,27,20,12,24,10,13,15,16,14,12,16,20,10,19
Sweden,144,SWE,95,115,114,108,100,87,99,87,92,101,96,87,101,85,107,83,91,111,82,93,91,81,68,87,87,112,106,113
Eswatini,734,SWZ,163,170,174,174,152,,,,165,114,128,184,134,135,146,139,127,121,217,187,208,172,104,102,118,112,116,130
Seychelles,718,SYC,,,,,,,,,,,,,,,10,,9,8,6,14,9,16,4,18,16,7,12,
Syria,463,SYR,,,,,,,,296,336,330,357,376,368,405,426,430,446,533,529,476,463,,,,,,,
Chad,628,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,742,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,578,THA,5344,5586,5959,5482,5006,4542,4474,4787,5361,5052,5142,5020,4538,6434,4273,4806,4687,4435,3974,3703,3654,3307,3323,2894,2649,2387,2229,
Tajikistan,923,TJK,168,148,605,1304,636,435,484,498,491,357,283,233,180,164,142,157,194,132,100,97,181,126,,,,,,
Turkmenistan,925,TKM,332,306,296,332,308,269,334,358,345,321,267,248,241,233,209,206,203,,,,,,,,,,,
Timor-Leste,537,TLS,,,,,,,,,,,,,,,23,46,49,62,35,32,39,,,,,49,,
Tonga,866,TON,,,,,,2,2,2,,,1,6,6,6,2,4,8,1,4,8,1,2,1,,,,,
Trinidad and Tobago,369,TTO,,,,,,,,,,,120,151,171,229,260,386,371,391,547,507,473,352,380,407,405,420,,
Tunisia,744,TUN,,,,,,,,,,,,,,,195,260,249,273,280,255,286,,332,,,,,
Turkey,186,TUR,,,,,,,,,,,,,,2837,2914,3305,3168,3599,3257,3692,3064,3061,3216,,,,,
Tuvalu,869,TUV,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,,,,,
Taiwan Province of China,528,TWN,,,,,,,,,,,,306,,,,,228,176,191,181,179,,179,168,,192,,
Tanzania,738,TZA,,,,,,2110,2283,2355,,,,,,2778,2926,,,,,,3888,4149,4092,3697,3902,3746,3439,
Uganda,746,UGA,,,,,,1710,1806,1919,,,,,,2136,2049,2492,2696,2645,2793,3233,3160,3753,4066,3857,4473,,4482,4735
Ukraine,926,UKR,2558,2648,3370,3696,4223,4407,4896,4231,4195,4250,4418,4854,4296,4041,3487,3030,2958,2646,2466,2240,1988,,2336,,2845,,,2751
Uruguay,298,URY,206,194,182,,,191,205,243,244,216,214,218,231,197,200,190,202,194,221,226,205,199,267,260,268,293,268,284
United States,111,USA,23438,24703,23760,24526,23326,21606,19645,18208,16974,15522,15586,19033,16229,16528,16148,16740,17309,17128,16465,15399,14722,14661,14856,14319,14164,15883,17413,17284
Kosovo,967,UVK,,,,,,,,,,,,,,,,,,,113,73,106,62,90,41,55,42,38,
Uzbekistan,927,UZB,1125,1062,1145,1139,1219,1157,1153,1054,1065,1014,1068,1081,1058,963,962,910,861,815,831,,,,,,450,506,444,363
St. Vincent and the Grenadines,364,VCT,11,18,18,14,13,20,24,9,24,14,20,12,20,18,29,26,20,40,16,23,25,21,28,,,,40,
Venezuela,299,VEN,2474,2502,3266,4292,4733,4481,4961,4225,4550,5974,8022,7960,9617,11342,9719,9964,12257,13156,14589,13985,13080,14098,16072,,19030,,17778,
Vietnam,582,VNM,,,,,,,,,,,,1004,1067,1059,1063,1053,1048,1168,1092,1233,1336,1358,,,,,,
Vanuatu,846,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,862,WSM,,,,,,,,,,,,,,,,,,,,16,16,,,6,,,,
Yemen,474,YEM,,,,,,,,,615,1024,697,,,704,646,945,895,850,874,990,1099,1375,1616,1703,,,,
South Africa,199,ZAF,,,,,25965,26877,25470,24486,25127,22604,21758,21405,21553,19824,18793,18528,19106,18400,18084,16767,15893,15554,16213,17023,17805,18673,19016,20336
Zambia,754,ZMB,550,684,768,745,831,,,,872,1072,797,,,,,,,,694,812,814,863,885,867,825,853,,
Zimbabwe,698,ZWE,587,,,,,,,,,,,1529,1623,1360,1356,1350,1072,,,,711,,981,,,,,
